,BRK-B,ARKK,VTV,MTUM,QUAL,IWM,USMV,Project-1 multi-asset portfolio
2013-05-31,0.07289315295565513,,0.0258287200283831,0.0030862897634749142,,0.03931993847981308,-0.02346327861099562,-0.01718784956884667
2013-06-30,-0.018848089170078963,,-0.010277266308218458,-0.00828627284813177,,-0.008180044930070185,-0.004151783935327669,-0.032194875365382125
2013-07-31,0.03529310795443452,,0.05383835748506338,0.059762932103357036,-0.0005976785822701114,0.07334173569406577,0.03684368066127486,0.03335866202294291
2013-08-31,-0.040131193714122104,,-0.03677220799454983,-0.03563568956543228,-0.020750207137762433,-0.031641822843877176,-0.032573123072519694,-0.014790711626386344
2013-09-30,0.020589829980159013,,0.022864811596611023,0.03012812145126298,0.038078606794071934,0.06489123244727901,0.02537300055640479,0.026422025426813267
2013-10-31,0.01391942711589289,,0.045851108163399656,0.055679620160413945,0.048641036473736854,0.024200296898566398,0.04724651027903559,0.029865744717243903
2013-11-30,0.012511968782921823,,0.03178550815434722,0.03146939723971354,0.04112699786783924,0.03956382195703312,0.013218720720533872,0.00044984032917216865
2013-12-31,0.01742039646925253,,0.020952634118115654,0.02677564285676648,0.022871672218533368,0.020211577266541214,0.012729916242074646,0.004065189495406685
2014-01-31,-0.058704446928087406,,-0.036915750137062275,-0.023154695499120526,-0.04193215864785482,-0.02773893733799926,-0.030422807347236347,-0.005010071566822205
2014-02-28,0.037455200379282294,,0.03969001617839463,0.06718954794520315,0.048938357470444505,0.04778855092788814,0.04386975411650207,0.0371571027601163
2014-03-31,0.07937469803333164,,0.02688558124453455,-0.03418808233451964,-0.004687890875423983,-0.007484686496476711,0.008469604121745578,-0.001477634576752651
2014-04-30,0.031047490156939528,,0.008578084684311538,-0.009943536617355697,0.007455945044954282,-0.03747641812102642,0.013314979610632882,0.010234298138340092
2014-05-31,-0.0039581664064126665,,0.013835782450222878,0.040676053234818044,0.02326005245624785,0.007858698941988651,0.011497092652363872,0.019195343498852102
2014-06-30,-0.013869400265608234,,0.019171733531271995,0.02072001885066177,0.005885323638315398,0.05272048287389719,0.0124429732367497,0.017764272863830533
2014-07-31,-0.008928549898990612,,-0.01198262583916787,-0.01043345182249511,-0.00756150650598153,-0.06054348650539165,-0.014239476700684817,-0.007984069278739181
2014-08-31,0.09423582608678793,,0.03438372985853744,0.04600661910101511,0.043463183147441686,0.04829559243967818,0.03979247769898864,0.0289402944245416
2014-09-30,0.006484512857183766,,-0.012784788837261307,-0.006659359802132392,-0.007717716226101623,-0.05927911655331697,-0.00783620117373185,-0.026335247983245935
2014-10-31,0.014622877380817245,,0.01797974793623469,0.022969332039620483,0.026673328817571784,0.0659348870755716,0.04246298093218348,0.018198470449077853
2014-11-30,0.06085900796535748,0.010304125020521138,0.024678864124294098,0.03752219159938286,0.02287573032464474,0.0011155318378042178,0.03564160456828058,0.01810203762974294
2014-12-31,0.009819029061173712,-0.02088380737616813,0.0035535391135679273,-0.008061068333745203,-0.005591033604195328,0.028929418861088907,0.0003792969285092429,-0.0027959402585754356
2015-01-31,-0.04155837820863928,0.003968187403285306,-0.040950999661720666,-0.006905429234992155,-0.017349146211212196,-0.03277032265089541,-0.004940508211766059,0.019372437456745883
2015-02-28,0.02432075540917733,0.06274695312655032,0.05306682972808208,0.054297714037052414,0.060159938104878075,0.059463932026799116,0.036494888463775244,0.013396231540619752
2015-03-31,-0.020961917516625905,-0.03138078397278288,-0.013269076604575658,-0.01052848428116182,-0.015698538205697332,0.017700102656263983,-0.007481996632429988,-0.007799501889886318
2015-04-30,-0.02154933794705849,0.005759545079527806,0.012783859449818857,-0.010384158796779674,0.001729471013334427,-0.02564946641872079,-0.005816349423297673,0.0038837495250800824
2015-05-31,0.012676107931641756,0.030589341932456993,0.011796885393710044,0.033634918244380474,0.01522294905829602,0.022363369723909177,0.010238760369795763,0.0013050736157780296
2015-06-30,-0.048181813913625304,-0.011391029575219869,-0.02228886818311826,-0.0034484725810077776,-0.01846364453302085,0.007829426939067519,-0.022313953075213777,-0.023997449525666514
2015-07-31,0.04871063737478365,0.007025768543050148,0.010076834572222415,0.037933718825467366,0.02879735637526748,-0.011039393258345576,0.04017852750916018,0.01367683630091121
